account_id,funding_arbitrage_score,organized_trading_score,bonus_abuse_score,quant_anomaly_score,mean_holding_minutes,funding_timing_ratio,concurrent_trading_ratio,ip_shared_ratio,total_reward,sharpe_ratio,win_rate,final_risk_score,final_risk_level,pattern_count
A_2db64f326b,0.3535830618892508,0.2069799906933457,0.2504355501861576,0.0,230.6319848845173,0.4071661237785016,0.01628664495114,0.0,263.123581851044,0.983968218748316,0.4371584699453552,0.22860502534667773,Low,0
A_33849d660b,0.2125136171430215,0.2271526418786693,0.4228020232169277,0.0,2287.105459334191,0.3150684931506849,0.0633561643835616,0.0,60.85790241686868,0.8104938440033408,0.4191176470588235,0.22781791444382626,Low,1
A_b2bc71e131,0.2551133348518148,0.2153793574846206,0.1791673256993953,0.25,573.3723510544071,0.2966507177033493,0.0358851674641148,0.0,66.53475116666667,4.52083109382368,0.5384615384615384,0.2252502407150407,Low,0
A_6960c2ee08,0.105307720224713,0.2595845481049563,0.1568601917912437,0.475,169.73112886364797,0.2066326530612245,0.1390306122448979,0.0,10.0,-2.0572678059872787,0.9311224489795918,0.22506894626239732,Low,1
A_ae270b7bf6,0.1936524600742824,0.2180614087898856,0.2663168036942339,0.2,2706.158557092827,0.2655027092113184,0.0421432871763997,0.0,163.50942650000002,0.5833430785346913,0.8734177215189873,0.21768059183759145,Low,0
A_0ad0445c5a,0.4238752762893438,0.1761204481792717,0.025332943032382,0.12,22.68570569133987,0.2598039215686274,0.0220588235294117,0.0,9.99693998,-1.4001238936891884,0.7941176470588235,0.2118713283560246,Low,1
A_5cd5d675fd,0.2030226618358301,0.2557644110275689,0.2124880957499403,0.12,90.2676337088694,0.2573099415204678,0.1301169590643275,0.0,12.2569515,-0.1756729780316799,0.7485380116959064,0.2109219615603862,Low,0
A_60a63690ae,0.4233699505532028,0.2203647416413374,0.0,0.0,318.78166465308453,0.2460106382978723,0.0378989361702127,0.0,0.0,-1.2127407265332126,0.5023328149300156,0.20413864474042892,Low,1
A_0e72128b0d,0.2836947523361131,0.2247252747252747,0.194863897917183,0.0,2593.3423640283745,0.2829670329670329,0.0576923076923076,0.0,63.557894133126936,-0.2119936848903735,0.6363636363636364,0.20273505143811665,Low,0
A_64a414bc30,0.1178119156466807,0.2725874261871928,0.1725001059849039,0.22,165.83798113049068,0.2333722287047841,0.1633605600933489,0.0,10.0,0.094589368044937,0.7780373831775701,0.19824919505650246,Low,0
A_3cfd9478f0,0.2037262596611605,0.1540558810274898,0.0,0.55,97.1873358314693,0.2933753943217665,0.0094637223974763,0.0,0.0,-3.750939487981564,0.25,0.19753743625796957,Low,1
A_06d5bd3da9,0.1333645710321907,0.3455253018079754,0.1387684750001574,0.05,193.03521844371795,0.2662721893491124,0.1065088757396449,0.0,10.0,-1.27832314602043,0.6615384615384615,0.19619692194248006,Low,0
A_ace0a74506,0.09758615344676,0.211637239165329,0.2502189560307116,0.25,229.07635851029963,0.1947565543071161,0.0271535580524344,0.0,86.98177066666668,-0.9922325170400984,0.095505617977528,0.19089267094803547,Low,0
A_ef035876f1,0.2426392063192342,0.2503014422220903,0.0,0.12,73.29543844344828,0.2512908777969019,0.0120481927710843,0.0,0.0,0.300876475563506,0.3,0.17839726667350184,Low,0
A_0bfb0b4311,0.137589031423055,0.2456195488787513,0.0250295586805493,0.3,601.5890545921958,0.2612081170363379,0.0875412930627654,0.0185185185185185,10.0,0.0983972682943553,0.9621909840038778,0.17724946327058932,Low,0
A_7ba723a337,0.5243477460416904,0.043808085788241,0.0,0.0,59.415550382075466,0.131578947368421,0.0350877192982456,0.0,0.0,-0.7823333194184399,0.5660377358490566,0.17263715383839146,Low,1
A_1a7c006b71,0.0953137135062989,0.3102011408257837,0.0950059381746247,0.1,225.3625889180871,0.1882022471910112,0.1235955056179775,0.0,17.497396000000002,-1.4286250422436464,0.6306818181818182,0.17116570097583889,Low,0
A_359a23d0bd,0.1327934749223366,0.2164835164835165,0.2546216364112526,0.0,321.52016793958336,0.2115384615384615,0.0384615384615384,0.0,86.0,1.6299355069271924,0.4305555555555556,0.16653160052818228,Low,0
A_3943c4c480,0.1527674242492647,0.2153970826580227,0.0270823783604435,0.25,722.6913748206598,0.3055105348460292,0.0359265262020529,0.0,10.0,-3.306672610994479,0.4488912925905895,0.16413568187717606,Low,0
A_68f6513965,0.1028535599243196,0.279734219269103,0.1010248908927167,0.1,144.73812227068626,0.2049418604651162,0.1860465116279069,0.0,30.991118571428572,-1.87485508359971,0.6735294117647059,0.16396802290002527,Low,0
A_507a86d368,0.1352432431236786,0.2250779787897692,0.1070480932710306,0.12,225.1723180960234,0.245414847161572,0.0585152838427947,0.0,10.0,-1.5704164754663033,0.7894736842105263,0.1587598841677289,Low,0
A_dae7cf0dd9,0.0776220451315629,0.2861561119293078,0.0,0.22,328.4323632259259,0.1546391752577319,0.2010309278350515,0.0,0.0,-0.352080872725945,0.7222222222222222,0.1564412527147266,Low,0
A_94cf7bdada,0.1183539085799894,0.2989010989010989,0.0,0.1,103.51658403247863,0.1538461538461538,0.2307692307692307,0.0,0.0,0.7545707700691873,0.6923076923076923,0.15512155718938142,Low,0
A_1b6957bd93,0.177961657230755,0.2143613000755858,0.0878068387250039,0.05,338.73657461339036,0.3544973544973545,0.0335097001763668,0.0,14.1101742,-1.070290893834901,0.4743589743589743,0.1534763199406823,Low,0
A_522c68dd44,0.1481288735172869,0.2195241651552331,0.0074647265193473,0.2,325.0610868193182,0.2935026138909634,0.0455563853622106,0.0,2.97593,-1.7786694332588595,0.8515151515151516,0.15276506516338711,Low,0
A_2ba62f7b20,0.1174438602445694,0.2615787575649843,0.0897034311765942,0.05,225.478309095574,0.2343173431734317,0.0931734317343173,0.0,26.251895905,-0.4221333350036788,0.4439834024896265,0.15222640945643415,Low,0
A_cf3fcea289,0.2158534703643675,0.0006070416835289,0.3028402848372215,0.175,6908.624243383243,0.5283286118980169,0.0014164305949008,0.0,149.99880258,2.5090579129744177,0.5837837837837838,0.15178656266598967,Low,0
A_9366ce5043,0.1233711911977775,0.2291428571428571,0.0,0.0,1496.3142045324396,0.2466666666666666,0.068,0.0,0.0,-1.2659257218977091,0.6005361930294906,0.11721135735933322,Low,0
A_40cfe40ac2,0.1320196062671635,0.0024050024050024,0.0096865036628807,0.12,1514.9354150644774,0.2637485970819304,0.0056116722783389,0.0,2.981442,-1.0879868023423762,0.3771186440677966,0.06038493345447603,Low,0
A_946b028740,0.1085763981760883,0.0156249999999999,0.0,0.0,175.55751314140625,0.2170542635658914,0.0,0.0357142857142857,0.0,-0.0571552238196678,0.578125,0.03804166945282646,Low,0
