account_id,sharpe_score,winrate_score,pf_score,entropy_score,concentration_score,kelly_score,quant_anomaly_score,total_positions,sharpe_ratio,max_drawdown,win_rate,profit_factor,avg_holding_minutes,median_holding_minutes,time_entropy,position_concentration_hhi,avg_leverage,max_leverage,leverage_std,kelly_optimal,kelly_deviation,consistency_score,roi_pct,total_pnl,avg_trade_interval_min,trade_interval_cv,risk_level
A_dcd87c6c96,0.0,0.0,0.0,0.0,1.0,1.0,0.2,84,-0.8052573366449924,-7.117001691604706,0.40476190476190477,0.19814193451746817,137.67959262698415,0.9210670166666667,0.8863284593270886,0.909297052154195,98.82142857142857,100,10.801785566681623,0.0,0.9882142857142857,0.08786077854986227,-0.10701946811825713,-20606.16756799959,1434.9643194327311,1.7170800797563823,Low
A_ae270b7bf6,0.0,1.0,0.0,0.0,0.0,0.0,0.2,790,0.5833430785346913,-93.53949359632611,0.8734177215189873,1.6780878439315785,2907.892615607321,32.88495088333333,0.9781478241828537,0.19138920044864605,3.848101265822785,9,1.3620662711929021,0.3423116914017119,0.3038306787434841,0.020754415338511873,0.11699371538235236,18286.594131499915,130.0624888223068,100.27150756520237,Low
A_522c68dd44,0.0,1.0,0.0,0.0,0.0,0.0,0.2,660,-1.7786694332588597,-73.94299051069129,0.8515151515151516,0.6176061811613464,388.2250378882576,9.772239575,0.9561988216984614,0.5027318640955006,8.315151515151515,100,9.921577815564477,0.0,0.08315151515151514,0.06923461379021983,-0.0793077932101112,-7107.0908757000125,447.2842919123419,8.53652625970452,Low
A_cf3fcea289,0.7,0.0,0.0,0.0,0.0,0.0,0.175,185,2.5090579129744177,-93.16159640336082,0.5837837837837838,1.6997174022954953,7195.2848831032425,3868.1547542499998,0.7480677244660161,0.042162162162162176,2.135135135135135,18,1.531590572811874,0.2403244634312508,0.21897311207989945,0.18446960652989644,2.720005256630154,41636.99234609,1294.0296682671196,7.646036079281676,Low
A_8860be39b3,0.7,0.0,0.0,0.0,0.0,0.0,0.175,71,2.1896085250821353,-7.3745673649344585,0.5211267605633803,1.3139465684954386,83.57682780352113,79.1282789,0.7224424276208403,0.05098194802618528,9.295774647887324,35,9.128283152921995,0.07163334675220215,0.021324399726671092,0.2598587236192374,0.11414897407131407,36185.672016099765,1179.6989116054763,2.6568376530003994,Low
A_3cab2969e5,0.7,0.0,0.0,0.0,0.0,0.0,0.175,424,-2.796699210150252,-20.57320941099682,0.6721698113207547,0.5060441986339633,9.559071414268868,2.6952046083333334,0.8882348356251011,0.5301931292274832,33.551886792452834,50,15.44431455984889,0.0,0.33551886792452834,0.13581972020423336,-0.04490168264482661,-15.222871800000242,161.54265688959813,6.626442208737586,Low
A_1f97e16953,0.0,0.6,0.0,0.0,0.0,0.0,0.12,96,-0.6498262561300497,-27.379514199995477,0.3645833333333333,1.6655161928329676,23.47124976493056,0.74472375,0.7294680636508989,0.07465277777777779,19.885416666666668,100,22.8546297471036,0.1420338776046881,0.05682028906197856,0.06632261454090631,0.20925683037134948,16950.490274500007,1051.2620274547369,3.309269685084472,Low
A_507a86d368,0.0,0.6,0.0,0.0,0.0,0.0,0.12,570,-1.5704164754663033,-83.37240691834766,0.7894736842105263,0.6282980259545238,225.44793307362573,5.4607408,0.9246106298784744,0.25705140043090186,3.5807017543859647,40,5.489210973948544,0.0,0.03580701754385965,0.06577750783947306,-0.10648672233135793,-20298.5881206,133.89056937539544,13.522181890522832,Low
A_40cfe40ac2,0.0,0.6,0.0,0.0,0.0,0.0,0.12,236,-1.0879868023423762,-98.90486241335944,0.3771186440677966,0.7244763509430946,3306.6983300050847,2336.2364404083337,0.8127762678565464,0.020863257684573408,2.9745762711864407,3,0.2245322099541352,0.0,0.029745762711864406,0.07082190847923142,-1.1321797674787222,-1097.5681788000006,1066.1631489939716,3.3575874919242845,Low
A_ef035876f1,0.0,0.6,0.0,0.0,0.0,0.0,0.12,290,0.30087647556350605,-34.122555825025266,0.3,0.779677358232571,73.32297443344828,12.1386217,0.8916200077466697,0.08166468489892985,29.02758620689655,100,23.126534686593008,0.0,0.2902758620689655,0.01766807500272123,-0.06611331059783943,-18.13194329999977,94.10655288656285,3.710278804028256,Low
